# Constructed from biom file
#OTU ID	FEzW4zC11	FEzW0zC7	FEzW4zF8	FEzW4zF5	FEzW2zC6	FEzW0zF11	FEzW2zF4	FEzW2zC8	FEzW4zC1	FEzW4zC6	FEzW2zF2	FEzW0zF7	FEzW2zC10	FEzW0zF5	FEzW6zC4	FEzW0zF6	FEzW4zF1	FEzW6zC3	FEzW6zF8	FEzW0zC9	FEzW4zC10	FEzW0zF1	FEzW2zF7	FEzW4zC2	FEzW4zF3	FEzW6zF5	FEzW2zF8	FEzW6zF2	FEzW6zC6	FEzW2zF6	FEzW0zF2	FEzW2zC2	FEzW6zF9	FEzW4zC3	FEzW0zF3	FEzW4zF9	FEzW6zF6	FEzW2zC9	FEzW6zC2	FEzW0zF9	FEzW2zC4	FEzW0zC2	FEzW4zC9	FEzW6zC10	FEzW0zC1	FEzW4zF4	FEzW6zF3	FEzW2zC3	FEzW4zF7	FEzW0zC6	FEzW6zF11	FEzW0zF4	FEzW2zF11	FEzW4zC4	FEzW0zC10	FEzW6zC7	FEzW6zF7	FEzW6zC5	FEzW6zF1	FEzW2zC5	FEzW0zC4	FEzW0zC5	FEzW6zC9	FEzW6zC1	FEzW2zF1	FEzW2zC11	FEzW2zF9	FEzW2zF5	FEzW2zF3	FEzW2zC1	FEzW2zC7	FEzW4zF2	FEzW4zC7	FEzW6zF4	FEzW4zC5	FEzW0zC8	FEzW4zC8	FEzW4zF6	FEzW0zC11	FEzW6zC11	FEzW6zC8
D_0__Bacteria;D_1__Actinobacteria;D_2__Coriobacteriia;D_3__Coriobacteriales;D_4__Eggerthellaceae;D_5__Adlercreutzia	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
D_0__Bacteria;D_1__Actinobacteria;D_2__Coriobacteriia;D_3__Coriobacteriales;D_4__Eggerthellaceae;__	1.0	1.0	1.0	2.0	3.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	4.0	3.0	1.0	2.0	0.0	1.0	0.0	0.0	0.0	0.0	2.0	0.0	5.0	0.0	0.0	2.0	0.0	4.0	1.0	0.0	1.0	0.0	3.0	0.0	1.0	2.0	0.0	0.0	1.0	3.0	2.0	0.0	0.0	2.0	1.0	0.0	4.0	0.0	0.0	2.0	2.0	0.0	0.0	0.0	1.0	5.0	1.0	0.0	0.0	1.0	6.0	3.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	2.0	1.0	0.0	0.0	0.0	2.0	1.0	1.0	0.0
D_0__Bacteria;D_1__Actinobacteria;D_2__Coriobacteriia;D_3__Coriobacteriales;D_4__uncultured;D_5__uncultured bacterium	1.0	0.0	1.0	0.0	1.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	2.0	2.0	0.0	4.0	2.0	1.0	5.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	3.0	1.0	0.0	0.0	2.0	0.0	0.0	3.0	0.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	2.0	2.0	0.0	2.0	3.0	0.0	0.0	2.0	2.0	0.0	1.0	1.0
D_0__Bacteria;D_1__Bacteroidetes;D_2__Bacteroidia;D_3__Bacteroidales;D_4__Bacteroidaceae;D_5__Bacteroides	455.0	908.0	657.0	475.0	674.0	184.0	1083.0	592.0	786.0	736.0	696.0	327.0	511.0	650.0	975.0	572.0	725.0	977.0	464.0	332.0	470.0	574.0	576.0	577.0	699.0	927.0	662.0	946.0	525.0	657.0	399.0	372.0	736.0	1025.0	759.0	788.0	640.0	410.0	863.0	454.0	726.0	134.0	438.0	511.0	512.0	751.0	716.0	598.0	837.0	251.0	570.0	694.0	407.0	911.0	536.0	499.0	776.0	683.0	686.0	679.0	212.0	328.0	519.0	570.0	656.0	456.0	646.0	602.0	935.0	713.0	825.0	834.0	718.0	737.0	618.0	655.0	549.0	660.0	229.0	669.0	887.0
D_0__Bacteria;D_1__Bacteroidetes;D_2__Bacteroidia;D_3__Bacteroidales;D_4__Prevotellaceae;D_5__Paraprevotella	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	11.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	13.0	0.0	11.0	0.0	0.0	6.0	5.0	0.0	0.0	8.0	5.0
D_0__Bacteria;D_1__Bacteroidetes;D_2__Bacteroidia;D_3__Bacteroidales;D_4__Rikenellaceae;D_5__Alistipes	11.0	4.0	6.0	2.0	1.0	0.0	8.0	2.0	3.0	0.0	2.0	0.0	1.0	3.0	3.0	0.0	4.0	45.0	2.0	4.0	4.0	1.0	0.0	8.0	3.0	9.0	2.0	12.0	1.0	10.0	6.0	4.0	2.0	199.0	1.0	11.0	7.0	0.0	8.0	6.0	2.0	0.0	4.0	5.0	0.0	6.0	6.0	1.0	2.0	0.0	9.0	8.0	0.0	4.0	2.0	146.0	4.0	3.0	2.0	4.0	3.0	2.0	77.0	2.0	0.0	0.0	2.0	7.0	1.0	3.0	4.0	8.0	11.0	2.0	5.0	4.0	3.0	12.0	3.0	187.0	9.0
D_0__Bacteria;D_1__Bacteroidetes;D_2__Bacteroidia;D_3__Bacteroidales;D_4__Tannerellaceae;D_5__Parabacteroides	275.0	354.0	173.0	195.0	165.0	111.0	123.0	81.0	182.0	155.0	178.0	101.0	159.0	191.0	126.0	85.0	126.0	128.0	130.0	228.0	130.0	121.0	189.0	169.0	112.0	183.0	229.0	171.0	89.0	96.0	94.0	133.0	90.0	148.0	192.0	154.0	156.0	53.0	114.0	92.0	162.0	65.0	159.0	186.0	185.0	95.0	173.0	80.0	227.0	31.0	138.0	157.0	51.0	83.0	144.0	132.0	193.0	51.0	139.0	81.0	284.0	52.0	103.0	165.0	132.0	125.0	72.0	133.0	186.0	149.0	239.0	306.0	208.0	83.0	156.0	156.0	315.0	141.0	77.0	232.0	214.0
D_0__Bacteria;D_1__Bacteroidetes;D_2__Bacteroidia;D_3__Chitinophagales;__;__	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0
D_0__Bacteria;D_1__Cyanobacteria;D_2__Melainabacteria;D_3__Gastranaerophilales;Ambiguous_taxa;Ambiguous_taxa	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
D_0__Bacteria;D_1__Cyanobacteria;D_2__Melainabacteria;D_3__Gastranaerophilales;D_4__uncultured bacterium;D_5__uncultured bacterium	5.0	9.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0
D_0__Bacteria;D_1__Cyanobacteria;D_2__Oxyphotobacteria;D_3__Nostocales;D_4__Phormidiaceae;D_5__Trichodesmium IMS101	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
D_0__Bacteria;D_1__Deferribacteres;D_2__Deferribacteres;D_3__Deferribacterales;D_4__Deferribacteraceae;D_5__Mucispirillum	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	1.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	2.0	0.0	2.0	0.0	0.0
D_0__Bacteria;D_1__Firmicutes;D_2__Bacilli;D_3__Lactobacillales;D_4__Lactobacillaceae;D_5__Lactobacillus	34.0	81.0	142.0	225.0	328.0	9.0	226.0	106.0	101.0	238.0	272.0	7.0	20.0	149.0	150.0	15.0	197.0	1.0	59.0	40.0	81.0	152.0	16.0	124.0	180.0	120.0	8.0	84.0	221.0	26.0	255.0	266.0	178.0	45.0	133.0	176.0	155.0	151.0	243.0	4.0	150.0	35.0	127.0	77.0	98.0	98.0	142.0	390.0	267.0	99.0	102.0	8.0	178.0	136.0	4.0	252.0	41.0	136.0	70.0	215.0	158.0	60.0	243.0	298.0	196.0	148.0	97.0	177.0	111.0	120.0	271.0	121.0	91.0	166.0	320.0	48.0	115.0	107.0	7.0	174.0	165.0
D_0__Bacteria;D_1__Firmicutes;D_2__Bacilli;__;__;__	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0
D_0__Bacteria;D_1__Firmicutes;D_2__Clostridia;D_3__Clostridiales;D_4__Christensenellaceae;D_5__Christensenellaceae R-7 group	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	3.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	1.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	1.0	0.0	1.0	0.0
D_0__Bacteria;D_1__Firmicutes;D_2__Clostridia;D_3__Clostridiales;D_4__Christensenellaceae;D_5__uncultured	0.0	1.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0
D_0__Bacteria;D_1__Firmicutes;D_2__Clostridia;D_3__Clostridiales;D_4__Clostridiaceae 1;D_5__Candidatus Arthromitus	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
D_0__Bacteria;D_1__Firmicutes;D_2__Clostridia;D_3__Clostridiales;D_4__Clostridiaceae 1;D_5__Clostridium sensu stricto 1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	11.0	0.0	0.0	0.0	72.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	20.0	0.0	0.0	14.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	155.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
D_0__Bacteria;D_1__Firmicutes;D_2__Clostridia;D_3__Clostridiales;D_4__Clostridiales vadinBB60 group;Ambiguous_taxa	27.0	33.0	17.0	16.0	4.0	22.0	6.0	17.0	6.0	1.0	13.0	10.0	7.0	19.0	4.0	15.0	9.0	6.0	10.0	12.0	7.0	14.0	7.0	22.0	13.0	20.0	11.0	10.0	14.0	15.0	13.0	16.0	12.0	5.0	7.0	6.0	19.0	14.0	31.0	16.0	12.0	4.0	12.0	7.0	5.0	16.0	12.0	25.0	14.0	4.0	9.0	8.0	7.0	12.0	6.0	6.0	29.0	18.0	14.0	10.0	3.0	12.0	4.0	14.0	17.0	15.0	30.0	34.0	1.0	9.0	7.0	7.0	12.0	16.0	13.0	2.0	9.0	11.0	10.0	10.0	15.0
D_0__Bacteria;D_1__Firmicutes;D_2__Clostridia;D_3__Clostridiales;D_4__Clostridiales vadinBB60 group;D_5__uncultured Clostridia bacterium	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
D_0__Bacteria;D_1__Firmicutes;D_2__Clostridia;D_3__Clostridiales;D_4__Clostridiales vadinBB60 group;D_5__uncultured bacterium	5.0	3.0	9.0	7.0	0.0	4.0	10.0	2.0	4.0	7.0	5.0	2.0	4.0	17.0	4.0	4.0	4.0	4.0	5.0	5.0	0.0	11.0	4.0	4.0	3.0	7.0	19.0	0.0	0.0	3.0	7.0	0.0	6.0	2.0	7.0	9.0	10.0	5.0	1.0	5.0	4.0	0.0	6.0	0.0	1.0	7.0	2.0	3.0	1.0	0.0	5.0	14.0	1.0	0.0	3.0	1.0	0.0	3.0	1.0	2.0	0.0	0.0	1.0	1.0	6.0	1.0	6.0	6.0	2.0	4.0	0.0	4.0	1.0	5.0	1.0	3.0	0.0	3.0	5.0	0.0	0.0
D_0__Bacteria;D_1__Firmicutes;D_2__Clostridia;D_3__Clostridiales;D_4__Clostridiales vadinBB60 group;__	22.0	9.0	11.0	16.0	7.0	7.0	14.0	11.0	22.0	2.0	13.0	25.0	0.0	16.0	11.0	10.0	11.0	3.0	6.0	5.0	8.0	9.0	12.0	10.0	8.0	11.0	23.0	12.0	9.0	5.0	17.0	7.0	6.0	6.0	3.0	11.0	25.0	6.0	7.0	9.0	24.0	22.0	4.0	0.0	19.0	14.0	7.0	9.0	19.0	4.0	15.0	14.0	7.0	5.0	8.0	5.0	18.0	19.0	11.0	8.0	2.0	11.0	0.0	0.0	16.0	17.0	4.0	12.0	7.0	6.0	6.0	10.0	16.0	9.0	8.0	9.0	11.0	29.0	15.0	7.0	17.0
D_0__Bacteria;D_1__Firmicutes;D_2__Clostridia;D_3__Clostridiales;D_4__Family XIII;D_5__Anaerovorax	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
D_0__Bacteria;D_1__Firmicutes;D_2__Clostridia;D_3__Clostridiales;D_4__Family XIII;D_5__Family XIII AD3011 group	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
D_0__Bacteria;D_1__Firmicutes;D_2__Clostridia;D_3__Clostridiales;D_4__Family XIII;D_5__Family XIII UCG-001	0.0	0.0	1.0	2.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	2.0	0.0	0.0	0.0	1.0	0.0	3.0	1.0	2.0	2.0	0.0	0.0	0.0	0.0	3.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	2.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	1.0	0.0	0.0	2.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	2.0	2.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0
D_0__Bacteria;D_1__Firmicutes;D_2__Clostridia;D_3__Clostridiales;D_4__Family XIII;D_5__[Eubacterium] brachy group	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	1.0	0.0	2.0	2.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	1.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	1.0	0.0	0.0	0.0
D_0__Bacteria;D_1__Firmicutes;D_2__Clostridia;D_3__Clostridiales;D_4__Family XIII;D_5__[Eubacterium] nodatum group	2.0	0.0	2.0	4.0	2.0	0.0	10.0	0.0	14.0	8.0	6.0	2.0	0.0	2.0	5.0	0.0	1.0	1.0	3.0	2.0	0.0	0.0	0.0	4.0	0.0	14.0	1.0	1.0	6.0	2.0	4.0	7.0	5.0	2.0	1.0	10.0	5.0	2.0	11.0	1.0	3.0	1.0	1.0	0.0	2.0	0.0	2.0	6.0	4.0	0.0	3.0	3.0	0.0	8.0	1.0	10.0	2.0	10.0	3.0	4.0	6.0	3.0	4.0	11.0	4.0	3.0	1.0	3.0	1.0	2.0	0.0	4.0	6.0	8.0	4.0	1.0	2.0	5.0	2.0	2.0	4.0
D_0__Bacteria;D_1__Firmicutes;D_2__Clostridia;D_3__Clostridiales;D_4__Family XIII;__	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0
D_0__Bacteria;D_1__Firmicutes;D_2__Clostridia;D_3__Clostridiales;D_4__Lachnospiraceae;D_5__A2	2.0	39.0	6.0	10.0	2.0	30.0	2.0	19.0	5.0	14.0	5.0	19.0	8.0	12.0	8.0	40.0	5.0	5.0	12.0	14.0	33.0	3.0	2.0	8.0	6.0	10.0	16.0	12.0	34.0	1.0	6.0	26.0	0.0	13.0	5.0	11.0	0.0	13.0	6.0	9.0	7.0	36.0	4.0	13.0	19.0	11.0	11.0	4.0	6.0	34.0	12.0	4.0	22.0	3.0	36.0	18.0	23.0	6.0	4.0	5.0	31.0	20.0	3.0	8.0	15.0	4.0	16.0	3.0	7.0	7.0	11.0	0.0	10.0	16.0	7.0	9.0	0.0	1.0	31.0	9.0	0.0
D_0__Bacteria;D_1__Firmicutes;D_2__Clostridia;D_3__Clostridiales;D_4__Lachnospiraceae;D_5__ASF356	0.0	2.0	12.0	8.0	2.0	19.0	13.0	25.0	6.0	7.0	7.0	6.0	13.0	3.0	0.0	20.0	11.0	2.0	10.0	4.0	12.0	19.0	3.0	18.0	1.0	13.0	3.0	2.0	6.0	5.0	19.0	57.0	6.0	17.0	6.0	2.0	4.0	9.0	14.0	11.0	11.0	38.0	2.0	24.0	32.0	7.0	10.0	43.0	1.0	11.0	8.0	16.0	24.0	13.0	4.0	4.0	11.0	6.0	10.0	13.0	12.0	62.0	8.0	3.0	8.0	21.0	17.0	17.0	2.0	10.0	1.0	0.0	2.0	23.0	11.0	9.0	8.0	0.0	15.0	2.0	0.0
D_0__Bacteria;D_1__Firmicutes;D_2__Clostridia;D_3__Clostridiales;D_4__Lachnospiraceae;D_5__Acetatifactor	0.0	0.0	6.0	30.0	2.0	5.0	6.0	19.0	3.0	22.0	2.0	9.0	9.0	18.0	8.0	15.0	9.0	0.0	9.0	2.0	6.0	9.0	0.0	4.0	21.0	0.0	7.0	5.0	29.0	16.0	14.0	8.0	6.0	0.0	7.0	13.0	8.0	11.0	5.0	5.0	20.0	10.0	0.0	2.0	11.0	5.0	13.0	3.0	0.0	9.0	11.0	6.0	10.0	3.0	7.0	9.0	0.0	7.0	30.0	9.0	9.0	9.0	0.0	5.0	19.0	12.0	8.0	13.0	2.0	9.0	2.0	0.0	9.0	19.0	2.0	0.0	1.0	13.0	14.0	1.0	1.0
D_0__Bacteria;D_1__Firmicutes;D_2__Clostridia;D_3__Clostridiales;D_4__Lachnospiraceae;D_5__Acetitomaculum	0.0	0.0	0.0	0.0	0.0	3.0	0.0	4.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	4.0	2.0	2.0	3.0	0.0	2.0	0.0	3.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
D_0__Bacteria;D_1__Firmicutes;D_2__Clostridia;D_3__Clostridiales;D_4__Lachnospiraceae;D_5__Blautia	5.0	5.0	7.0	10.0	12.0	16.0	3.0	13.0	17.0	7.0	9.0	5.0	14.0	3.0	0.0	10.0	7.0	6.0	1.0	13.0	0.0	12.0	8.0	22.0	25.0	16.0	2.0	2.0	0.0	2.0	3.0	14.0	2.0	2.0	1.0	2.0	9.0	4.0	5.0	3.0	12.0	13.0	2.0	2.0	1.0	5.0	14.0	8.0	7.0	0.0	4.0	3.0	4.0	31.0	11.0	13.0	5.0	7.0	3.0	18.0	3.0	11.0	7.0	14.0	30.0	11.0	0.0	4.0	30.0	3.0	6.0	13.0	6.0	11.0	8.0	5.0	10.0	5.0	10.0	21.0	2.0
